,Molecule ChEMBL ID,Smiles,pChEMBL Value,Classification,Hybridization,Conjugation
20,CHEMBL275628,NCCc1c[nH]c2ccc(F)cc12,4.88,0.0,"(0     4
1     4
2     4
3     3
4     3
5     3
6     3
7     3
8     3
9     3
10    4
11    3
12    3
dtype: int64, 0     N
1     C
2     C
3     C
4     C
5     N
6     C
7     C
8     C
9     C
10    F
11    C
12    C
dtype: object)","[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
21,CHEMBL3971179,C[C@H](c1cc(F)cc(F)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,7.1,2.0,"(0     4
1     4
2     3
3     3
4     3
5     4
6     3
7     3
8     4
9     3
10    3
11    3
12    3
13    3
14    3
15    3
16    3
17    3
18    3
19    4
20    3
21    3
22    3
23    3
24    3
25    3
26    3
27    3
28    3
dtype: int64, 0     C
1     C
2     C
3     C
4     C
5     F
6     C
7     C
8     F
9     C
10    N
11    C
12    O
13    C
14    C
15    C
16    C
17    C
18    C
19    C
20    C
21    N
22    O
23    C
24    C
25    C
26    C
27    C
28    C
dtype: object)","[0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
22,CHEMBL1289952,CCOC(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,4.54,0.0,"(0     4
1     4
2     3
3     3
4     3
5     3
6     4
7     4
8     3
9     3
10    3
11    3
12    3
13    3
14    3
15    3
16    4
17    3
18    3
19    3
20    3
21    3
22    3
23    3
24    3
dtype: int64, 0     C
1     C
2     O
3     C
4     O
5     N
6     C
7     C
8     C
9     C
10    N
11    C
12    C
13    C
14    C
15    O
16    C
17    C
18    C
19    C
20    C
21    C
22    C
23    C
24    C
dtype: object)","[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
23,CHEMBL3935896,Cc1cccc(C(=O)N([C@H](C)c2cccc(Cl)c2)[C@@H](C(N)=O)c2ccccc2)c1,5.68,1.0,"(0     4
1     3
2     3
3     3
4     3
5     3
6     3
7     3
8     3
9     4
10    4
11    3
12    3
13    3
14    3
15    3
16    4
17    3
18    4
19    3
20    3
21    3
22    3
23    3
24    3
25    3
26    3
27    3
28    3
dtype: int64, 0      C
1      C
2      C
3      C
4      C
5      C
6      C
7      O
8      N
9      C
10     C
11     C
12     C
13     C
14     C
15     C
16    Cl
17     C
18     C
19     C
20     N
21     O
22     C
23     C
24     C
25     C
26     C
27     C
28     C
dtype: object)","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
24,CHEMBL3926952,C[C@H](c1cc(F)cc(Cl)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,6.75,1.0,"(0     4
1     4
2     3
3     3
4     3
5     4
6     3
7     3
8     4
9     3
10    3
11    3
12    3
13    3
14    3
15    3
16    3
17    3
18    3
19    4
20    3
21    3
22    3
23    3
24    3
25    3
26    3
27    3
28    3
dtype: int64, 0      C
1      C
2      C
3      C
4      C
5      F
6      C
7      C
8     Cl
9      C
10     N
11     C
12     O
13     C
14     C
15     C
16     C
17     C
18     C
19     C
20     C
21     N
22     O
23     C
24     C
25     C
26     C
27     C
28     C
dtype: object)","[0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
25,CHEMBL256087,CC1CCC(C(C)C)C(O)C1,4.72,0.0,"(0     4
1     4
2     4
3     4
4     4
5     4
6     4
7     4
8     4
9     4
10    4
dtype: int64, 0     C
1     C
2     C
3     C
4     C
5     C
6     C
7     C
8     C
9     O
10    C
dtype: object)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,CHEMBL3353585,N#Cc1cc(C(F)(F)F)cnc1N(Cc1ccccc1)S(=O)(=O)c1ccc(C(=O)O)cc1,5.61,1.0,"(0     2
1     2
2     3
3     3
4     3
5     4
6     4
7     4
8     4
9     3
10    3
11    3
12    3
13    4
14    3
15    3
16    3
17    3
18    3
19    3
20    4
21    3
22    3
23    3
24    3
25    3
26    3
27    3
28    3
29    3
30    3
31    3
dtype: int64, 0     N
1     C
2     C
3     C
4     C
5     C
6     F
7     F
8     F
9     C
10    N
11    C
12    N
13    C
14    C
15    C
16    C
17    C
18    C
19    C
20    S
21    O
22    O
23    C
24    C
25    C
26    C
27    C
28    O
29    O
30    C
31    C
dtype: object)","[1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
27,CHEMBL3353580,N#Cc1cnc(N(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(Cl)c1,4.62,0.0,"(0     2
1     2
2     3
3     3
4     3
5     3
6     3
7     4
8     3
9     3
10    3
11    3
12    3
13    3
14    4
15    3
16    3
17    3
18    3
19    3
20    3
21    3
22    3
23    3
24    3
25    3
26    3
27    4
28    3
dtype: int64, 0      N
1      C
2      C
3      C
4      N
5      C
6      N
7      C
8      C
9      C
10     C
11     C
12     C
13     C
14     S
15     O
16     O
17     C
18     C
19     C
20     C
21     C
22     O
23     O
24     C
25     C
26     C
27    Cl
28     C
dtype: object)","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
28,CHEMBL3353579,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(Cl)cc2Cl)cc1,6.7,1.0,"(0     3
1     3
2     3
3     3
4     3
5     3
6     3
7     4
8     3
9     3
10    3
11    4
12    3
13    3
14    3
15    3
16    3
17    3
18    3
19    3
20    3
21    3
22    4
23    3
24    3
25    4
26    3
27    3
dtype: int64, 0      O
1      C
2      O
3      C
4      C
5      C
6      C
7      S
8      O
9      O
10     N
11     C
12     C
13     C
14     C
15     C
16     C
17     C
18     C
19     N
20     C
21     C
22    Cl
23     C
24     C
25    Cl
26     C
27     C
dtype: object)","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]"
29,CHEMBL3235967,CC(C)(C)NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1,7.43,2.0,"(0     4
1     4
2     4
3     4
4     3
5     3
6     3
7     3
8     4
9     4
10    3
11    3
12    3
13    3
14    3
15    3
16    4
17    3
18    3
19    3
20    3
21    4
22    4
23    4
24    4
25    3
26    3
dtype: int64, 0     C
1     C
2     C
3     C
4     N
5     C
6     O
7     N
8     C
9     C
10    C
11    C
12    C
13    C
14    C
15    C
16    C
17    C
18    C
19    C
20    C
21    C
22    F
23    F
24    F
25    C
26    C
dtype: object)","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]"
