"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1085100";"DIBENZO[B,F][1,4]OXAZEPINE";"Dibenz[B,F][1,4]Oxazepine|Dibenzo[B,F][1,4]Oxazepine";"Small molecule";"";"195.22";"5";"10";"3.54";"21.59";"2";"0";"0";"0";"N";"0.54";"None";"0.34";"3.37";"3.37";"2";"MOL";"-1";"15";"2";"0";"0";"195.0684";"0.16";"NEUTRAL";"C13H9NO";"C1=Nc2ccccc2Oc2ccccc21";"NPUACKRELIJTFM-UHFFFAOYSA-N";"InChI=1S/C13H9NO/c1-3-7-12-10(5-1)9-14-11-6-2-4-8-13(11)15-12/h1-9H";"False";"-1"
"CHEMBL3353578";"";"";"Small molecule";"";"402.86";"2";"2";"3.83";"87.57";"4";"1";"0";"6";"N";"0.68";"3.52";"None";"4.05";"0.68";"3";"MOL";"-1";"27";"6";"1";"0";"402.0441";"-1.46";"ACID";"C19H15ClN2O4S";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncccc2Cl)cc1";"IACXMQOTFFSZDU-UHFFFAOYSA-N";"InChI=1S/C19H15ClN2O4S/c20-17-7-4-12-21-18(17)22(13-14-5-2-1-3-6-14)27(25,26)16-10-8-15(9-11-16)19(23)24/h1-12H,13H2,(H,23,24)";"False";"-1"
"CHEMBL3577881";"";"";"Small molecule";"";"417.44";"11";"11";"4.58";"74.91";"4";"1";"0";"6";"N";"0.50";"4.03";"None";"4.85";"1.71";"4";"MOL";"-1";"31";"6";"1";"0";"417.1489";"-1.73";"ACID";"C24H20FN3O3";"C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cc2ccccn2n1";"JIPVIQLALIVIQU-MRXNPFEDSA-N";"InChI=1S/C24H20FN3O3/c1-16(18-8-10-20(25)11-9-18)27(15-17-5-4-6-19(13-17)24(30)31)23(29)22-14-21-7-2-3-12-28(21)26-22/h2-14,16H,15H2,1H3,(H,30,31)/t16-/m1/s1";"False";"-1"
"CHEMBL422704";"CANNABICHROMENE";"Cannabichromene";"Small molecule";"";"314.47";"27";"58";"6.04";"29.46";"2";"1";"1";"7";"N";"0.49";"9.47";"None";"6.60";"6.60";"1";"MOL";"-1";"23";"2";"1";"1";"314.2246";"2.91";"NEUTRAL";"C21H30O2";"CCCCCc1cc(O)c2c(c1)OC(C)(CCC=C(C)C)C=C2";"UVOLYTDXHDXWJU-UHFFFAOYSA-N";"InChI=1S/C21H30O2/c1-5-6-7-10-17-14-19(22)18-11-13-21(4,23-20(18)15-17)12-8-9-16(2)3/h9,11,13-15,22H,5-8,10,12H2,1-4H3";"False";"-1"
"CHEMBL173443";"";"";"Small molecule";"";"337.42";"7";"28";"4.77";"66.40";"2";"2";"0";"8";"N";"0.54";"3.55";"None";"6.17";"2.81";"2";"MOL";"-1";"25";"4";"2";"0";"337.1678";"-0.30";"ACID";"C21H23NO3";"CCCCCc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1";"GAMRBCZMOOMBSQ-CCEZHUSRSA-N";"InChI=1S/C21H23NO3/c1-2-3-4-7-16-10-12-17(13-11-16)14-15-20(23)22-19-9-6-5-8-18(19)21(24)25/h5-6,8-15H,2-4,7H2,1H3,(H,22,23)(H,24,25)/b15-14+";"False";"-1"
"CHEMBL258502";"";"SK&F-96365|SK-96365";"Small molecule";"";"366.46";"17";"42";"4.29";"45.51";"5";"0";"0";"10";"N";"0.50";"None";"6.48";"3.96";"3.92";"3";"MOL";"-1";"27";"5";"0";"0";"366.1943";"-0.48";"NEUTRAL";"C22H26N2O3";"COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1";"HLMBXBGDBBCYII-UHFFFAOYSA-N";"InChI=1S/C22H26N2O3/c1-25-20-9-5-18(6-10-20)4-3-15-27-22(16-24-14-13-23-17-24)19-7-11-21(26-2)12-8-19/h5-14,17,22H,3-4,15-16H2,1-2H3";"False";"-1"
"CHEMBL3353595";"";"";"Small molecule";"";"554.85";"2";"2";"5.75";"96.80";"5";"1";"2";"7";"N";"0.37";"3.52";"None";"6.36";"2.99";"3";"MOL";"-1";"36";"7";"1";"2";"554.0138";"-1.51";"ACID";"C21H13ClF6N2O5S";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2OC(F)(F)F)c2ncc(C(F)(F)F)cc2Cl)cc1";"OGHZZVCOQNORHW-UHFFFAOYSA-N";"InChI=1S/C21H13ClF6N2O5S/c22-16-9-14(20(23,24)25)10-29-18(16)30(11-13-3-1-2-4-17(13)35-21(26,27)28)36(33,34)15-7-5-12(6-8-15)19(31)32/h1-10H,11H2,(H,31,32)";"False";"-1"
"CHEMBL3353601";"";"";"Small molecule";"";"580.93";"2";"2";"6.69";"87.57";"4";"1";"2";"7";"N";"0.31";"3.52";"None";"6.83";"3.47";"3";"MOL";"-1";"38";"6";"1";"2";"580.0658";"-1.27";"ACID";"C24H19ClF6N2O4S";"CC(C)(c1ccc(CN(c2ncc(C(F)(F)F)cc2Cl)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1)C(F)(F)F";"GVGWRROBXZESQK-UHFFFAOYSA-N";"InChI=1S/C24H19ClF6N2O4S/c1-22(2,24(29,30)31)16-7-3-14(4-8-16)13-33(20-19(25)11-17(12-32-20)23(26,27)28)38(36,37)18-9-5-15(6-10-18)21(34)35/h3-12H,13H2,1-2H3,(H,34,35)";"False";"-1"
"CHEMBL3894821";"";"";"Small molecule";"";"463.57";"5";"5";"3.20";"95.72";"8";"1";"0";"4";"N";"0.64";"7.76";"3.08";"3.66";"3.51";"3";"MOL";"-1";"33";"9";"1";"0";"463.1790";"-1.69";"NEUTRAL";"C23H25N7O2S";"CN1C(=O)c2c(ncn2CC(=O)Nc2nc(-c3ccc(C(C)(C)C)cc3)cs2)N2CCN=C12";"OOZCYHFVKYNNLY-UHFFFAOYSA-N";"InChI=1S/C23H25N7O2S/c1-23(2,3)15-7-5-14(6-8-15)16-12-33-21(26-16)27-17(31)11-29-13-25-19-18(29)20(32)28(4)22-24-9-10-30(19)22/h5-8,12-13H,9-11H2,1-4H3,(H,26,27,31)";"False";"-1"
"CHEMBL3914637";"";"";"Small molecule";"";"448.55";"5";"5";"3.67";"85.99";"7";"1";"0";"5";"N";"0.50";"7.91";"None";"4.53";"4.42";"4";"MOL";"-1";"32";"7";"1";"0";"448.1569";"-1.61";"NEUTRAL";"C24H24N4O3S";"CC(C)c1ccc(-c2csc(NC(=O)Cc3cccc4c3c(=O)n(C)c(=O)n4C)n2)cc1";"RVMLSWRWPJDAMD-UHFFFAOYSA-N";"InChI=1S/C24H24N4O3S/c1-14(2)15-8-10-16(11-9-15)18-13-32-23(25-18)26-20(29)12-17-6-5-7-19-21(17)22(30)28(4)24(31)27(19)3/h5-11,13-14H,12H2,1-4H3,(H,25,26,29)";"False";"-1"
