Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
CHEMBL5290541,291.311,281.231,0.801085785,0.233607928,-0.492134948,0.492134948,0.233607928,0,0,0,1,2,3,7,1,8,3,0,0,0,3,2.3282,71.6578
CHEMBL5271998,308.334,295.23,0.926403932,0.292627122,-0.492089574,0.492089574,0.292627122,0,1,1,1,1,2,5,1,7,2,0,1,1,3,2.8224,75.3953
CHEMBL5279250,308.334,295.23,0.925552877,0.270897515,-0.492090552,0.492090552,0.270897515,0,1,1,1,1,2,5,1,7,2,0,1,1,3,2.4748,75.6453
CHEMBL3577898,446.453,426.293,0.417687584,0.335189703,-0.477639123,0.477639123,0.335189703,0,0,0,3,1,4,3,1,7,6,0,0,0,4,5.6148,119.7908
CHEMBL3922771,542.923,524.779,0.393882814,0.422067847,-0.482562613,0.482562613,0.422067847,0,0,0,1,3,4,9,1,14,6,0,0,0,4,4.03782,127.8767
CHEMBL3977053,638.901,619.749,0.289285616,0.572647456,-0.444149001,0.572647456,0.444149001,0,0,0,1,3,4,11,2,19,7,0,0,0,4,2.95742,138.2741
CHEMBL4238921,455.358,440.238,0.547780091,0.41775465,-0.48098353,0.48098353,0.41775465,0,0,0,1,2,3,4,1,11,5,0,0,0,3,5.0422,100.7812
CHEMBL4247840,440.343,426.231,0.538433009,0.41775465,-0.507966196,0.507966196,0.41775465,0,0,0,2,1,3,3,2,10,4,0,0,0,3,5.3442,98.099
CHEMBL4239691,421.422,403.278,0.475023086,0.41775465,-0.339520265,0.41775465,0.339520265,0,0,0,2,2,4,3,1,7,4,0,0,0,4,5.47642,111.4702
CHEMBL3891778,492.601,464.377,0.401669311,0.330438417,-0.493590417,0.493590417,0.330438417,0,0,0,2,2,4,8,1,9,8,0,0,0,4,3.9668,139.2637
CHEMBL3987145,510.444,495.324,0.423104437,0.418833063,-0.301672036,0.418833063,0.301672036,0,0,0,2,2,4,7,1,13,4,0,0,0,4,3.8389,119.2317
CHEMBL3947368,510.444,495.324,0.423104437,0.421557123,-0.301672047,0.421557123,0.301672047,0,0,0,2,2,4,7,1,13,4,0,0,0,4,3.8389,119.2317
CHEMBL3956363,495.413,479.285,0.459608399,0.331061531,-0.301671457,0.331061531,0.301671457,0,0,0,1,3,4,8,1,11,4,0,0,0,4,4.21862,126.9477
CHEMBL3981050,528.459,511.323,0.382942795,0.388944267,-0.447122679,0.447122679,0.388944267,0,0,0,1,3,4,8,1,14,6,0,0,0,4,3.908,120.8717
CHEMBL3929233,546.886,531.766,0.367897223,0.42207078,-0.479468982,0.479468982,0.42207078,0,0,0,1,3,4,9,1,15,6,0,0,0,4,3.8685,123.0977
CHEMBL3948438,532.363,515.227,0.409678856,0.330438417,-0.301672047,0.330438417,0.301672047,0,0,0,2,2,4,7,1,9,4,0,0,0,4,3.1465,127.0307
CHEMBL4208555,509.012,476.756,0.535591856,0.416764914,-0.380358368,0.416764914,0.380358368,1,1,2,2,0,2,3,2,8,7,1,1,2,4,5.2685,130.3535
