Molecule ChEMBL ID,,HOMO,LUMO,Electronegativity,Hardness
CHEMBL3687376,,-0.224595,-0.083133,0.153864,0.070731
CHEMBL3687386,,-0.209703,-0.08916,0.1494315,0.0602715
CHEMBL3687319,,-0.229408,-0.091385,0.1603965,0.0690115
CHEMBL3687323,,-0.223686,-0.08527,0.154478,0.069208
CHEMBL3944579,,-0.203852,-0.039396,0.12162400000000001,0.082228
CHEMBL3948210,,-0.211694,-0.079592,0.145643,0.066051
CHEMBL4248426,,-0.230201,-0.070281,0.15024099999999999,0.07996
CHEMBL1288716,,-0.188802,-0.00749,0.098146,0.090656
CHEMBL3687406,,-0.023376,-0.015101,0.0192385,0.0041375
CHEMBL3687408,,-0.195192,-0.076561,0.1358765,0.0593155
CHEMBL3577897,,-0.221108,-0.073116,0.147112,0.073996
CHEMBL3577886,,-0.214463,-0.092544,0.1535035,0.0609595
CHEMBL3577880,,-0.225619,-0.050945,0.138282,0.087337
CHEMBL4750971,,-0.21783,-0.064687,0.1412585,0.0765715
CHEMBL3968269,,-0.192296,-0.059542,0.125919,0.066377
CHEMBL3577903,,-0.18745,-0.065501,0.12647550000000002,0.0609745
CHEMBL3577902,,-0.219438,-0.079633,0.1495355,0.0699025
CHEMBL3577896,,-0.222281,-0.07205,0.1471655,0.0751155
CHEMBL3577892,,-0.216166,-0.074668,0.145417,0.070749
CHEMBL3577891,,-0.220838,-0.076664,0.148751,0.072087
CHEMBL3577888,,-0.211915,-0.05521,0.1335625,0.0783525
CHEMBL3576881,,-0.20953,-0.053296,0.131413,0.078117
CHEMBL3235968,,-0.217349,-0.020753,0.11905099999999999,0.098298
CHEMBL3235971,,-0.232492,-0.025574,0.129033,0.103459
CHEMBL3235972,,-0.209041,-0.039216,0.1241285,0.0849125
CHEMBL3353601,,-0.239642,-0.094278,0.16696,0.072682
CHEMBL3687403,,-0.21085,-0.088928,0.149889,0.060961
CHEMBL3898642,,-0.209618,-0.06491,0.137264,0.072354
CHEMBL3687360,,-0.219598,-0.082262,0.15093,0.068668
CHEMBL4237618,,-0.221061,-0.063276,0.1421685,0.0788925
CHEMBL2442014,,-0.205964,-0.022958,0.11446100000000001,0.091503
CHEMBL2442013,,-0.202709,-0.033698,0.1182035,0.0845055
CHEMBL2442021,,-0.207559,-0.008105,0.107832,0.099727
CHEMBL2442033,,-0.19058,-0.035566,0.113073,0.077507
CHEMBL1955989,,-0.201616,-0.037532,0.119574,0.082042
CHEMBL2443060,,-0.212823,-0.020634,0.11672850000000001,0.0960945
CHEMBL2443070,,-0.213551,-0.074444,0.1439975,0.0695535
CHEMBL3687410,,-0.228689,-0.094813,0.161751,0.066938
CHEMBL3935137,,-0.213653,-0.072039,0.142846,0.070807
CHEMBL3235977,,-0.217497,-0.052393,0.134945,0.082552
CHEMBL3235966,,-0.229518,-0.042196,0.135857,0.093661
CHEMBL3235969,,-0.228823,-0.027508,0.1281655,0.1006575
CHEMBL3235974,,-0.215831,-0.036481,0.126156,0.089675
CHEMBL3974529,,-0.20814,-0.090308,0.149224,0.058915999999999996
CHEMBL3892970,,-0.208669,-0.05192,0.1302945,0.0783745
CHEMBL3687354,,-0.226546,-0.087754,0.15715,0.069396
CHEMBL3687370,,-0.202726,-0.087962,0.145344,0.057381999999999996
CHEMBL3687382,,-0.212208,-0.076734,0.14447100000000002,0.067737
CHEMBL3687394,,-0.219344,-0.087746,0.15354500000000001,0.065799
CHEMBL3687413,,-0.229931,-0.084587,0.15725899999999998,0.072672
CHEMBL3920106,,-0.208303,-0.046088,0.1271955,0.0811075
CHEMBL3682558,,-0.219453,-0.078376,0.1489145,0.0705385
CHEMBL3682565,,-0.023939,0.000522,0.011708499999999998,0.0122305
CHEMBL3682568,,-0.217146,-0.072231,0.1446885,0.0724575
CHEMBL3682591,,-0.232196,-0.094107,0.1631515,0.0690445
CHEMBL3682608,,-0.21943,-0.080408,0.149919,0.069511
CHEMBL3682615,,-0.025337,-0.010354,0.0178455,0.0074915
CHEMBL3682619,,-0.018276,0.005115,0.0065805,0.011695500000000001
CHEMBL3687320,,-0.228824,-0.09055,0.159687,0.069137
CHEMBL3687322,,-0.230247,-0.110336,0.1702915,0.0599555
CHEMBL3687326,,-0.222268,-0.085777,0.1540225,0.0682455
CHEMBL3687327,,-0.239814,-0.0976,0.168707,0.071107
CHEMBL3687328,,-0.220274,-0.089363,0.1548185,0.0654555
CHEMBL3687331,,-0.01275,0.003327,0.0047115,0.0080385
CHEMBL3687334,,-0.019587,-0.003511,0.011549,0.008038
CHEMBL3687341,,-0.222897,-0.082339,0.152618,0.070279
CHEMBL3687351,,-0.223209,-0.080957,0.152083,0.071126
CHEMBL3687357,,-0.025936,-0.000524,0.01323,0.012706
CHEMBL3687395,,-0.219884,-0.082517,0.1512005,0.0686835
CHEMBL3687405,,-0.027478,-0.014501,0.0209895,0.0064885
CHEMBL3577906,,-0.208041,-0.056744,0.1323925,0.0756485
CHEMBL3965541,,-0.212363,-0.058413,0.135388,0.076975
CHEMBL3687336,,-0.01973,0.007158,0.006286,0.013444000000000001
CHEMBL3687347,,-0.217105,-0.085204,0.1511545,0.0659505
CHEMBL4237740,,-0.243529,-0.058339,0.150934,0.092595
CHEMBL3899728,,-0.216608,-0.054135,0.1353715,0.0812365
CHEMBL3917717,,-0.198863,-0.042998,0.12093050000000001,0.0779325
CHEMBL3943602,,-0.201181,-0.04873,0.1249555,0.0762255
CHEMBL3952818,,-0.20291,-0.035578,0.119244,0.083666
CHEMBL4446849,,-0.225965,-0.074801,0.150383,0.075582
CHEMBL4454519,,-0.239013,-0.077815,0.158414,0.080599
CHEMBL1086310,,-0.2147,-0.037598,0.126149,0.088551
CHEMBL4533807,,-0.209843,-0.053343,0.13159300000000002,0.07825
CHEMBL4249999,,-0.240471,-0.058114,0.1492925,0.0911785
CHEMBL4247268,,-0.242937,-0.079961,0.161449,0.081488
CHEMBL2443065,,-0.225809,-0.03057,0.1281895,0.0976195
CHEMBL3973096,,-0.193119,-0.049045,0.12108200000000001,0.072037
CHEMBL4073922,,-0.198386,-0.087246,0.142816,0.05557
CHEMBL3914798,,-0.214591,-0.050122,0.1323565,0.0822345
CHEMBL4517528,,-0.230357,-0.060612,0.14548450000000002,0.0848725
CHEMBL2443075,,-0.210102,-0.015334,0.11271800000000001,0.097384
CHEMBL2443074,,-0.235577,-0.04345,0.1395135,0.0960635
CHEMBL2443086,,-0.210176,-0.015471,0.11282350000000001,0.0973525
CHEMBL2443085,,-0.23544,-0.038076,0.136758,0.098682
CHEMBL2442037,,-0.199671,-0.03044,0.11505549999999999,0.0846155
CHEMBL3235965,,-0.223765,-0.025754,0.1247595,0.0990055
CHEMBL2032210,,-0.20186,-0.032486,0.117173,0.084687
CHEMBL3235980,,-0.2296,-0.052174,0.14088699999999998,0.088713
CHEMBL3235982,,-0.236014,-0.043096,0.139555,0.096459
CHEMBL3235984,,-0.234866,-0.036412,0.135639,0.099227
CHEMBL2442015,,-0.201525,-0.034141,0.11783300000000001,0.083692
CHEMBL4647444,,-0.181223,-0.013668,0.0974455,0.0837775
CHEMBL3235964,,-0.218664,-0.028949,0.1238065,0.0948575
CHEMBL3235961,,-0.232119,-0.046587,0.139353,0.092766
CHEMBL3235979,,-0.225801,-0.041184,0.13349250000000001,0.0923085
CHEMBL3682559,,-0.016088,0.004335,0.0058765,0.010211500000000002
CHEMBL3682599,,-0.194899,-0.079103,0.13700099999999998,0.057898
CHEMBL2443078,,-0.209151,-0.01153,0.11034050000000001,0.0988105
CHEMBL2443084,,-0.21761,-0.015773,0.1166915,0.1009185
CHEMBL3235976,,-0.212358,-0.036849,0.12460349999999999,0.0877545
CHEMBL3353572,,-0.241021,-0.087448,0.1642345,0.0767865
CHEMBL3353588,,-0.241292,-0.0896,0.165446,0.075846
CHEMBL3353598,,-0.239829,-0.089562,0.1646955,0.0751335
CHEMBL3353603,,-0.250346,-0.092259,0.1713025,0.0790435
CHEMBL3682548,,-0.023468,0.002895,0.0102865,0.013181499999999999
CHEMBL3682550,,-0.219908,-0.078439,0.1491735,0.0707345
CHEMBL3687384,,-0.2215,-0.08252,0.15201,0.06949
CHEMBL3687393,,-0.223501,-0.081185,0.152343,0.071158
CHEMBL3687396,,-0.218857,-0.086255,0.152556,0.066301
CHEMBL8165,,-0.182447,0.00073,0.0908585,0.0915885
CHEMBL460302,,-0.173413,-0.010065,0.091739,0.081674
CHEMBL4164465,,-0.237665,-0.07687,0.1572675,0.0803975
CHEMBL1173240,,-0.186179,-0.035874,0.1110265,0.0751525
CHEMBL2442030,,-0.205712,-0.028654,0.11718300000000001,0.088529
CHEMBL3299022,,-0.198808,-0.021658,0.11023300000000001,0.088575
CHEMBL3353584,,-0.234417,-0.092654,0.1635355,0.0708815
CHEMBL3353578,,-0.233068,-0.087088,0.160078,0.07299
CHEMBL3682616,,-0.217812,-0.078341,0.1480765,0.0697355
CHEMBL3687337,,-0.012884,-0.004017,0.0084505,0.0044335
CHEMBL3687359,,-0.208988,-0.082633,0.1458105,0.0631775
CHEMBL3897132,,-0.213013,-0.058399,0.135706,0.077307
CHEMBL4251467,,-0.24573,-0.0881,0.166915,0.078815
CHEMBL4242403,,-0.228135,-0.069065,0.1486,0.079535
CHEMBL4246078,,-0.21439,-0.064795,0.1395925,0.0747975
CHEMBL3353592,,-0.258275,-0.088609,0.17344199999999999,0.084833
CHEMBL3235970,,-0.227289,-0.025068,0.1261785,0.10111049999999999
CHEMBL3577887,,-0.217108,-0.049528,0.133318,0.08379
CHEMBL3577882,,-0.200047,-0.055181,0.127614,0.072433
CHEMBL2442036,,-0.197104,-0.032839,0.1149715,0.0821325
CHEMBL3682547,,-0.229174,-0.089441,0.1593075,0.0698665
CHEMBL3577901,,-0.215746,-0.072158,0.143952,0.071794
CHEMBL3577883,,-0.216929,-0.071025,0.14397700000000002,0.072952
CHEMBL3235981,,-0.23113,-0.034838,0.132984,0.098146
CHEMBL3298922,,-0.219453,-0.037649,0.128551,0.090902
CHEMBL2443071,,-0.226287,-0.089477,0.157882,0.068405
CHEMBL1813048,,-0.204169,-0.025675,0.114922,0.089247
CHEMBL3235960,,-0.228331,-0.050576,0.1394535,0.0888775
CHEMBL3889978,,-0.203994,-0.033778,0.118886,0.085108
CHEMBL3353571,,-0.23071,-0.075223,0.1529665,0.0777435
CHEMBL3353597,,-0.240152,-0.095079,0.1676155,0.0725365
CHEMBL3298242,,-0.211744,-0.028547,0.12014549999999999,0.0915985
CHEMBL2443063,,-0.222837,-0.038434,0.13063550000000002,0.0922015
CHEMBL2443061,,-0.205867,-0.018628,0.1122475,0.0936195
CHEMBL2443076,,-0.211325,-0.022368,0.1168465,0.0944785
CHEMBL2442022,,-0.200333,-0.028257,0.11429500000000001,0.086038
CHEMBL3934736,,-0.214392,-0.037901,0.1261465,0.0882455
CHEMBL3908930,,-0.199533,-0.04481,0.12217149999999999,0.0773615
CHEMBL3927831,,-0.218723,-0.032144,0.1254335,0.0932895
CHEMBL3353581,,-0.236905,-0.077098,0.15700150000000002,0.0799035
CHEMBL3353570,,-0.237452,-0.074916,0.156184,0.081268
CHEMBL3352829,,-0.243886,-0.087293,0.1655895,0.0782965
CHEMBL3353594,,-0.25011,-0.093713,0.1719115,0.0781985
CHEMBL2443087,,-0.226992,-0.040968,0.13398,0.093012
CHEMBL2443083,,-0.221246,-0.022529,0.1218875,0.0993585
CHEMBL2443080,,-0.211014,-0.003938,0.107476,0.103538
CHEMBL3897350,,-0.207106,-0.059091,0.1330985,0.0740075
CHEMBL3970879,,-0.217729,-0.057608,0.1376685,0.0800605
CHEMBL3908765,,-0.214628,-0.046481,0.13055450000000002,0.0840735
CHEMBL3979103,,-0.223454,-0.044535,0.13399450000000002,0.0894595
CHEMBL3918002,,-0.224725,-0.061978,0.1433515,0.0813735
CHEMBL3898903,,-0.217317,-0.069426,0.1433715,0.0739455
