,Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
511,CHEMBL4785984,-0.4743473021789502,-0.5011666363467234,0.8434047772470722,-1.0225294657747832,1.0569010128012748,-1.6947654711460325,-0.9639087172956797,1.7690188961755648,-0.4170602971904646,0.8573209424948863,1.0084955160832922,-1.3313903548400827,-0.3336617983675517,-1.25873032379243,-0.13192624042966428,-1.2091244145583009,-0.1771380156681724,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,0.028694647811498206,-0.010373130831980906
512,CHEMBL4763262,-0.45788791415620805,-0.47346131065742636,0.9281601400669949,-1.0225292982263614,1.056901012803565,-1.6947654711485927,-0.9639084997209676,1.7690188961755648,-0.4170602971904646,0.8573209424948863,1.0084955160832922,-1.3313903548400827,-0.3336617983675517,-1.25873032379243,-0.13192624042966428,-0.8947039902556652,-0.1771380156681724,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-0.26251204043179666,-0.2476966218456667
513,CHEMBL4748099,-0.8436916803179508,-0.8874178796273647,1.1923220967251331,-1.022529521494812,1.0569010128005136,-1.6947654711451816,-0.9639087896524892,1.7690188961755648,-0.4170602971904646,0.8573209424948863,1.0084955160832922,-1.3313903548400827,-0.3336617983675517,-1.25873032379243,-0.13192624042966428,-1.5235448388609367,-0.1771380156681724,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-0.47843341748212925,-0.24378316027418187
514,CHEMBL3682551,0.6376210735438139,0.5956940713792365,-1.1960631466841474,-0.3411275837970209,-0.4720307413411193,0.014449497768709,-0.07905515203456123,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,2.203343464486323,-0.19169232857645171,1.7249685425039465,-0.29024840407448976,-0.13192624042966428,-0.5802835659530294,0.7071998640798028,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,1.3191690094971857,1.276428379564391,1.4630078797699084
515,CHEMBL3687365,0.8088737680788097,0.8355853676248697,-1.142970225764805,-0.34112758379701996,-0.4720307413411193,0.014449497768709,-0.07905515203456001,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,1.0084955160832922,0.9480056976871792,1.7249685425039465,0.19399255578448038,-0.13192624042966428,0.3629777069548776,0.2650309242058152,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,1.3191690094971857,1.1413028880314549,0.9907369279823685
516,CHEMBL3687373,1.1568048576957153,1.134188421691825,-1.3034848371512266,-0.3411275837970209,-0.4720307413411193,0.014449497768709,-0.07905515203456123,1.7690188961755648,-0.4170602971904646,0.8573209424948863,1.0084955160832922,-0.19169232857645171,0.6956533720681974,-0.29024840407448976,-0.13192624042966428,0.3629777069548776,1.1493688039537906,2.229254143544687,-0.31559625116818407,1.5799128391663746,1.3191690094971857,1.6553385746613427,1.2855976218625456
517,CHEMBL3687375,0.9803623626375859,0.9549154628961541,-1.16595336615736,-0.3411275837970209,-0.4720307413411193,0.014449497768709,-0.07905515203456123,1.7690188961755648,-0.4170602971904646,0.8573209424948863,1.0084955160832922,-0.19169232857645171,0.6956533720681974,-0.29024840407448976,-0.13192624042966428,0.3629777069548776,1.1493688039537906,2.229254143544687,-0.31559625116818407,1.5799128391663746,1.3191690094971857,1.256171197892882,1.050230861634604
518,CHEMBL3682539,0.7115006718999661,0.7366502270096464,-0.7408172613255294,1.6720372413299864,-1.405175808795519,1.4890410274470907,2.229291226045942,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,1.0084955160832922,-0.19169232857645171,0.6956533720681974,0.6782335156434505,-2.0492542680074513,0.6773981312575134,0.7071998640798028,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-0.3558658263110711,0.4668548722794451
519,CHEMBL3682570,0.7974969532956641,0.8569717436878236,-0.8401599329565509,0.44564028411090295,-1.405175808795519,1.057625894060282,0.9426243756629206,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-0.18635243231973878,0.9480056976871792,0.6956533720681974,0.6782335156434505,-2.0492542680074513,0.991818555560149,0.2650309242058152,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-0.10688100331413895,0.28767423889926336
520,CHEMBL3682581,0.8305229566246841,0.8026723558642056,-1.2742384381680838,-0.3411275837970209,-0.4720307413411193,0.014449497768709,-0.07905515203456123,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,2.203343464486323,-0.19169232857645171,1.7249685425039465,-0.29024840407448976,-0.13192624042966428,-0.2658631416503938,0.7071998640798028,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,1.3191690094971857,1.3843890680895574,1.461051148984164
521,CHEMBL5270316,-0.17815337686806113,-0.2770945036484196,-0.16632952024415804,0.27011316595175733,-0.33520236742790077,-0.13851292467500426,0.7146887030282528,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,1.0084955160832922,-1.3313903548400827,-0.3336617983675517,0.19399255578448038,1.785401787148123,-0.8947039902556652,2.0337066837017654,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,-0.7876357089671842,-0.6238815341580186,0.42194790074664335
522,CHEMBL5286610,0.05654570133505705,0.0821704668314387,-0.14687774887388555,1.672037241602064,-0.6638389476034418,1.4890410279453656,1.6416450260682307,-0.43887873378401415,1.438432453575276,0.8573209424948863,-0.18635243231973878,0.9480056976871792,0.6956533720681974,0.19399255578448038,1.785401787148123,0.3629777069548776,-0.61930695554216,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,1.3191690094971857,-0.269109206876542,-0.08906166171578925
523,CHEMBL3682605,1.601830252554268,1.6192985424025415,-1.319916631093699,0.46390171067897523,-0.4720307413411193,0.014449497768709,0.9663382643868736,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,1.0084955160832922,-0.19169232857645171,0.6956533720681974,0.19399255578448038,1.785401787148123,1.6206594041654203,0.7071998640798028,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,1.0010548907884829,1.0237125006049594
524,CHEMBL3353575,0.37276968321043136,0.40346726584955717,0.26769912509368693,0.3564312224218168,1.2300029265915235,-0.9203216465333983,0.1404260270024504,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-0.18635243231973878,-0.19169232857645171,-0.3336617983675517,-0.29024840407448976,-0.13192624042966428,0.6773981312575134,0.2650309242058152,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,-0.7876357089671842,-0.11675346886439056,0.007754582233081041
525,CHEMBL3353593,0.9620264971529656,1.0461044428487347,-0.5791622374531892,0.3564312224218168,-0.4720307413411193,0.014449497768709,0.8267794413048392,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-0.18635243231973878,-0.19169232857645171,-0.3336617983675517,-0.29024840407448976,-0.13192624042966428,1.6206594041654203,0.2650309242058152,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,-0.7876357089671842,0.9367752054998093,-0.058816194427590535
526,CHEMBL3353602,0.8129269593964615,0.8177397823008146,-0.48133895824410405,0.3564312224218168,-0.4720307413411193,0.014449497768709,0.8267794413048392,1.7690188961755648,-0.4170602971904646,0.8573209424948863,-0.18635243231973878,-0.19169232857645171,-0.3336617983675517,-0.29024840407448976,-0.13192624042966428,0.6773981312575134,0.7071998640798028,2.229254143544687,-0.31559625116818407,1.5799128391663746,0.26576665026500085,0.9621548928813553,0.480868791811624
527,CHEMBL3353604,0.8446662353230533,0.8829339108595083,-0.2737501384296206,0.3564312224218168,-0.4720307413411193,0.014449497768709,0.8267794413048392,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-0.18635243231973878,-0.19169232857645171,-0.3336617983675517,0.19399255578448038,1.785401787148123,1.3062389798627847,0.7071998640798028,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,-0.7876357089671842,0.11375928808725691,0.3745391091377835
